preset,gross_yield,base_rate,ltv,theta_rent_to_debt,stress_occ,stress_shock_bp,stress_rate,stress_cashflow,stress_dscr,worst_cashflow_on_support,worst_dscr_on_support,failure_probability,max_failure_probability,max_shock_bp_at_stress_occ_dscr1,passes_stress,passes_probability,admissible
rightmove_example,0.07727272727272727,0.05,0.4,0.19318181818181818,0.85,200.0,0.07,0.024545454545454544,1.8766233766233764,0.011272727272727275,1.3522727272727273,0.0,0.1,813.6363636363635,True,True,True
rightmove_example,0.07727272727272727,0.05,0.41,0.188470066518847,0.85,200.0,0.07,0.023845454545454548,1.8308520747545138,0.01047272727272728,1.3192904656319293,0.0,0.1,781.5964523281598,True,True,True
rightmove_example,0.07727272727272727,0.05,0.42,0.183982683982684,0.85,200.0,0.07,0.023145454545454545,1.78726035868893,0.009672727272727277,1.287878787878788,0.0,0.1,751.0822510822511,True,True,True
rightmove_example,0.07727272727272727,0.05,0.43,0.17970401691331925,0.85,200.0,0.07,0.022445454545454546,1.7456961643008155,0.008872727272727275,1.2579281183932347,0.0,0.1,721.9873150105709,True,True,True
rightmove_example,0.07727272727272727,0.05,0.44,0.1756198347107438,0.85,200.0,0.07,0.021745454545454544,1.7060212514757969,0.008072727272727273,1.2293388429752066,0.0,0.1,694.2148760330579,True,True,True
rightmove_example,0.07727272727272727,0.05,0.45,0.1717171717171717,0.85,200.0,0.07,0.02104545454545454,1.6681096681096679,0.007272727272727271,1.202020202020202,0.0,0.1,667.6767676767677,True,True,True
rightmove_example,0.07727272727272727,0.05,0.46,0.16798418972332016,0.85,200.0,0.07,0.02034545454545454,1.63184641445511,0.006472727272727276,1.1758893280632412,0.0,0.1,642.2924901185771,True,True,True
rightmove_example,0.07727272727272727,0.05,0.47,0.1644100580270793,0.85,200.0,0.07,0.01964545454545455,1.5971262779773419,0.005672727272727274,1.1508704061895552,0.0,0.1,617.9883945841394,True,True,True
rightmove_example,0.07727272727272727,0.05,0.48,0.16098484848484848,0.85,200.0,0.07,0.018945454545454543,1.5638528138528136,0.004872727272727279,1.1268939393939394,0.0,0.1,594.6969696969697,True,True,True
rightmove_example,0.07727272727272727,0.05,0.49,0.15769944341372913,0.85,200.0,0.07,0.018245454545454544,1.531937450304797,0.0040727272727272765,1.103896103896104,0.0,0.1,572.356215213358,True,True,True
rightmove_example,0.07727272727272727,0.05,0.5,0.15454545454545454,0.85,200.0,0.07,0.017545454545454545,1.5012987012987011,0.0032727272727272744,1.0818181818181818,0.0,0.1,550.9090909090909,True,True,True
rightmove_example,0.07727272727272727,0.05,0.51,0.15151515151515152,0.85,200.0,0.07,0.016845454545454545,1.4718614718614718,0.0024727272727272723,1.0606060606060606,0.0,0.1,530.3030303030303,True,True,True
rightmove_example,0.07727272727272727,0.05,0.52,0.1486013986013986,0.85,200.0,0.07,0.016145454545454546,1.4435564435564436,0.0016727272727272702,1.0402097902097902,0.0,0.1,510.48951048951045,True,True,True
rightmove_example,0.07727272727272727,0.05,0.53,0.1457975986277873,0.85,200.0,0.07,0.01544545454545454,1.4163195295270765,0.000872727272727275,1.0205831903945113,0.0,0.1,491.4236706689537,True,True,True
rightmove_example,0.07727272727272727,0.05,0.54,0.14309764309764308,0.85,200.0,0.07,0.01474545454545454,1.3900913900913898,7.272727272727292e-05,1.0016835016835017,0.0,0.1,473.063973063973,True,True,True
rightmove_example,0.07727272727272727,0.05,0.55,0.14049586776859502,0.85,200.0,0.07,0.014045454545454542,1.3648170011806373,-0.0007272727272727292,0.9834710743801652,0.0029999999999999983,0.1,455.37190082644616,True,True,True
rightmove_example,0.07727272727272727,0.05,0.56,0.13798701298701296,0.85,200.0,0.07,0.013345454545454542,1.3404452690166975,-0.0015272727272727313,0.9659090909090908,0.005999999999999997,0.1,438.31168831168816,True,True,True
rightmove_example,0.07727272727272727,0.05,0.57,0.13556618819776714,0.85,200.0,0.07,0.01264545454545455,1.3169286853497382,-0.0023272727272727195,0.9489633173843702,0.005999999999999997,0.1,421.85007974481675,True,True,True
rightmove_example,0.07727272727272727,0.05,0.58,0.13322884012539185,0.85,200.0,0.07,0.011945454545454544,1.2942230183609493,-0.0031272727272727216,0.9326018808777431,0.014099999999999991,0.1,405.95611285266466,True,True,True
rightmove_example,0.07727272727272727,0.05,0.59,0.13097072419106318,0.85,200.0,0.07,0.011245454545454545,1.2722870349988993,-0.003927272727272724,0.9167950693374423,0.014099999999999991,0.1,390.6009244992296,True,True,True
rightmove_example,0.07727272727272727,0.05,0.6,0.12878787878787878,0.85,200.0,0.07,0.010545454545454545,1.251082251082251,-0.004727272727272726,0.9015151515151516,0.022199999999999987,0.1,375.7575757575758,True,True,True
rightmove_example,0.07727272727272727,0.05,0.61,0.12667660208643816,0.85,200.0,0.07,0.009845454545454546,1.230572705982542,-0.005527272727272728,0.886736214605067,0.022199999999999987,0.1,361.40089418777944,True,True,True
rightmove_example,0.07727272727272727,0.05,0.62,0.12463343108504399,0.85,200.0,0.07,0.009145454545454547,1.210724759111856,-0.006327272727272723,0.872434017595308,0.03879999999999999,0.1,347.5073313782992,True,True,True
rightmove_example,0.07727272727272727,0.05,0.63,0.12265512265512266,0.85,200.0,0.07,0.00844545454545454,1.19150690579262,-0.007127272727272725,0.8585858585858587,0.03879999999999999,0.1,334.0548340548341,True,True,True
rightmove_example,0.07727272727272727,0.05,0.64,0.12073863636363635,0.85,200.0,0.07,0.0077454545454545415,1.1728896103896103,-0.007927272727272727,0.8451704545454546,0.05119999999999998,0.1,321.0227272727273,True,True,True
