preset,gross_yield,base_rate,ltv,theta_rent_to_debt,stress_occ,stress_shock_bp,stress_rate,stress_cashflow,stress_dscr,worst_cashflow_on_support,worst_dscr_on_support,failure_probability,max_failure_probability,max_shock_bp_at_stress_occ_dscr1,passes_stress,passes_probability,admissible
durham_typical,0.1,0.05,0.4,0.25,0.85,200.0,0.07,0.04,2.4285714285714284,0.024000000000000007,1.7500000000000002,0.0,0.1,1200.0,True,True,True
durham_typical,0.1,0.05,0.41,0.24390243902439027,0.85,200.0,0.07,0.0393,2.3693379790940767,0.023200000000000012,1.7073170731707321,0.0,0.1,1158.5365853658536,True,True,True
durham_typical,0.1,0.05,0.42,0.2380952380952381,0.85,200.0,0.07,0.0386,2.312925170068027,0.02240000000000001,1.666666666666667,0.0,0.1,1119.047619047619,True,True,True
durham_typical,0.1,0.05,0.43,0.23255813953488375,0.85,200.0,0.07,0.0379,2.259136212624585,0.021600000000000008,1.6279069767441863,0.0,0.1,1081.3953488372094,True,True,True
durham_typical,0.1,0.05,0.44,0.2272727272727273,0.85,200.0,0.07,0.0372,2.2077922077922074,0.020800000000000006,1.590909090909091,0.0,0.1,1045.4545454545457,True,True,True
durham_typical,0.1,0.05,0.45,0.22222222222222224,0.85,200.0,0.07,0.0365,2.1587301587301586,0.020000000000000004,1.5555555555555556,0.0,0.1,1011.1111111111111,True,True,True
durham_typical,0.1,0.05,0.46,0.21739130434782608,0.85,200.0,0.07,0.0358,2.1118012422360244,0.01920000000000001,1.521739130434783,0.0,0.1,978.2608695652175,True,True,True
durham_typical,0.1,0.05,0.47,0.21276595744680854,0.85,200.0,0.07,0.035100000000000006,2.066869300911854,0.018400000000000007,1.4893617021276597,0.0,0.1,946.808510638298,True,True,True
durham_typical,0.1,0.05,0.48,0.20833333333333334,0.85,200.0,0.07,0.0344,2.0238095238095237,0.01760000000000001,1.4583333333333337,0.0,0.1,916.6666666666669,True,True,True
durham_typical,0.1,0.05,0.49,0.20408163265306123,0.85,200.0,0.07,0.0337,1.9825072886297375,0.01680000000000001,1.4285714285714288,0.0,0.1,887.7551020408163,True,True,True
durham_typical,0.1,0.05,0.5,0.2,0.85,200.0,0.07,0.033,1.9428571428571428,0.016000000000000007,1.4000000000000001,0.0,0.1,860.0000000000001,True,True,True
durham_typical,0.1,0.05,0.51,0.19607843137254902,0.85,200.0,0.07,0.0323,1.9047619047619047,0.015200000000000005,1.3725490196078431,0.0,0.1,833.3333333333333,True,True,True
durham_typical,0.1,0.05,0.52,0.19230769230769232,0.85,200.0,0.07,0.0316,1.8681318681318682,0.014400000000000003,1.3461538461538463,0.0,0.1,807.6923076923077,True,True,True
durham_typical,0.1,0.05,0.53,0.18867924528301888,0.85,200.0,0.07,0.030899999999999997,1.8328840970350402,0.013600000000000008,1.3207547169811322,0.0,0.1,783.0188679245283,True,True,True
durham_typical,0.1,0.05,0.54,0.18518518518518517,0.85,200.0,0.07,0.030199999999999998,1.7989417989417986,0.012800000000000006,1.2962962962962965,0.0,0.1,759.2592592592591,True,True,True
durham_typical,0.1,0.05,0.55,0.18181818181818182,0.85,200.0,0.07,0.0295,1.7662337662337662,0.012000000000000004,1.2727272727272727,0.0,0.1,736.3636363636364,True,True,True
durham_typical,0.1,0.05,0.56,0.17857142857142858,0.85,200.0,0.07,0.0288,1.7346938775510203,0.011200000000000002,1.25,0.0,0.1,714.2857142857142,True,True,True
durham_typical,0.1,0.05,0.57,0.1754385964912281,0.85,200.0,0.07,0.028100000000000007,1.7042606516290728,0.010400000000000013,1.2280701754385968,0.0,0.1,692.9824561403511,True,True,True
durham_typical,0.1,0.05,0.58,0.1724137931034483,0.85,200.0,0.07,0.0274,1.6748768472906403,0.009600000000000011,1.2068965517241381,0.0,0.1,672.4137931034484,True,True,True
durham_typical,0.1,0.05,0.59,0.16949152542372883,0.85,200.0,0.07,0.0267,1.6464891041162228,0.00880000000000001,1.1864406779661019,0.0,0.1,652.5423728813561,True,True,True
durham_typical,0.1,0.05,0.6,0.16666666666666669,0.85,200.0,0.07,0.026000000000000002,1.619047619047619,0.008000000000000007,1.1666666666666667,0.0,0.1,633.3333333333334,True,True,True
durham_typical,0.1,0.05,0.61,0.1639344262295082,0.85,200.0,0.07,0.025300000000000003,1.5925058548009368,0.007200000000000005,1.1475409836065575,0.0,0.1,614.7540983606559,True,True,True
durham_typical,0.1,0.05,0.62,0.16129032258064518,0.85,200.0,0.07,0.024600000000000004,1.566820276497696,0.00640000000000001,1.1290322580645162,0.0,0.1,596.7741935483871,True,True,True
durham_typical,0.1,0.05,0.63,0.15873015873015875,0.85,200.0,0.07,0.023899999999999998,1.5419501133786846,0.005600000000000008,1.1111111111111112,0.0,0.1,579.3650793650794,True,True,True
durham_typical,0.1,0.05,0.64,0.15625,0.85,200.0,0.07,0.0232,1.5178571428571428,0.004800000000000006,1.09375,0.0,0.1,562.5000000000001,True,True,True
durham_typical,0.1,0.05,0.65,0.15384615384615385,0.85,200.0,0.07,0.0225,1.4945054945054945,0.0040000000000000036,1.076923076923077,0.0,0.1,546.1538461538462,True,True,True
durham_typical,0.1,0.05,0.66,0.15151515151515152,0.85,200.0,0.07,0.0218,1.4718614718614718,0.0032000000000000015,1.0606060606060606,0.0,0.1,530.3030303030303,True,True,True
durham_typical,0.1,0.05,0.67,0.14925373134328357,0.85,200.0,0.07,0.0211,1.4498933901918976,0.0024000000000000063,1.0447761194029852,0.0,0.1,514.9253731343284,True,True,True
durham_typical,0.1,0.05,0.68,0.14705882352941177,0.85,200.0,0.07,0.020399999999999995,1.4285714285714284,0.0016000000000000042,1.0294117647058825,0.0,0.1,500.0,True,True,True
durham_typical,0.1,0.05,0.69,0.1449275362318841,0.85,200.0,0.07,0.019700000000000002,1.4078674948240166,0.000800000000000009,1.0144927536231885,0.0,0.1,485.50724637681174,True,True,True
durham_typical,0.1,0.05,0.7,0.14285714285714288,0.85,200.0,0.07,0.019000000000000003,1.3877551020408163,1.3877787807814457e-17,1.0000000000000002,0.0,0.1,471.42857142857156,True,True,True
durham_typical,0.1,0.05,0.71,0.14084507042253522,0.85,200.0,0.07,0.018300000000000004,1.3682092555331993,-0.0007999999999999882,0.9859154929577467,0.0029999999999999983,0.1,457.74647887323954,True,True,True
